,Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability,Type_Count,Pre_Count,Ing_Count,Top_Type,Top_Pre,Top_Ing,Total_Time,Type_Freq,Pre_Freq,Ing_Freq,Ing_Sim,Pre_Sim,Is_Aller
286,R287,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,55,Easy,U460,,4,Feedback 287,2024-03-14,Summer,Lunch,1,747,Gluten,17.03,448,No,4,2,2,Italian,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",10,0.4,0.2,0.2,0.61875,0.6008035,0
287,R288,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,77,Medium,U811,Gluten-Free,3,Feedback 288,2024-02-05,Summer,Casual,6,205,,11.76,245,No,3,3,3,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",5,0.6,0.6,0.6,1.0,0.99999994,0
288,R289,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,49,Hard,U329,Vegetarian,4,Feedback 289,2024-02-21,Spring,Party,6,403,Dairy,6.09,252,Yes,3,2,2,Italian,Chop veggies; Stir-fry; Add sauce; Serve.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",9,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3923667,0.32049504,0
289,R290,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,37,Medium,U270,Gluten-Free,3,Feedback 290,2024-05-07,Winter,Dinner,2,394,,18.69,167,No,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.52486247,0.31877378,0
290,R291,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,58,Easy,U166,Vegan,2,Feedback 291,2024-05-26,Fall,Dinner,2,425,Soy,11.7,223,No,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",5,0.6,0.6,0.6,0.9999999,1.0,1
291,R292,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,26,Medium,U564,Gluten-Free,4,Feedback 292,2024-03-22,Winter,Casual,5,582,,18.07,399,Yes,4,4,4,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",10,0.4,0.4,0.4,1.0,0.99999994,0
292,R293,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,70,Medium,U390,,1,Feedback 293,2024-06-14,Summer,Dinner,4,793,,19.2,360,No,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21890011,0.6008035,0
293,R294,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,18,Medium,U746,Gluten-Free,2,Feedback 294,2024-05-19,Winter,Casual,6,597,,16.42,306,Yes,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",4,0.25,0.25,0.25,0.52486247,0.31877378,0
294,R295,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,40,Hard,U442,Vegetarian,5,Feedback 295,2024-11-28,Winter,Casual,4,634,Dairy,18.28,193,No,8,3,3,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",11,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.38125843,0.24441317,0
295,R296,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,56,Medium,U518,,3,Feedback 296,2024-03-30,Winter,Lunch,4,597,,17.67,257,No,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",5,0.4,0.4,0.4,0.9999999,0.6008035,0
296,R297,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,80,Easy,U400,Vegan,5,Feedback 297,2024-12-26,Winter,Casual,6,566,Soy,6.33,244,Yes,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9999999,1.0,1
297,R298,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,61,Medium,U330,,3,Feedback 298,2024-08-31,Summer,Casual,2,576,,5.72,155,No,1,1,1,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",5,0.2,0.2,0.2,0.14242914,0.094956286,0
298,R299,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,88,Medium,U793,,1,Feedback 299,2024-10-25,Summer,Party,5,348,,7.62,327,No,1,1,1,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",8,0.125,0.125,0.125,0.21890011,0.2786578,0
299,R300,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,37,Easy,U475,,2,Feedback 300,2024-07-14,Summer,Party,5,429,Gluten,15.72,316,No,4,2,2,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",10,0.4,0.2,0.2,0.52486247,0.31877378,0
300,R301,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,33,Medium,U433,,4,Feedback 301,2024-05-28,Spring,Lunch,1,589,,19.09,315,Yes,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.61875,0.6008035,0
301,R302,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,87,Medium,U119,,4,Feedback 302,2024-05-04,Fall,Casual,6,605,,11.09,460,No,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999,0.6008035,0
302,R303,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,39,Hard,U450,Vegetarian,2,Feedback 303,2024-03-06,Fall,Dinner,5,506,Dairy,15.62,86,Yes,3,2,2,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",4,0.75,0.5,0.5,1.0000001,1.0,0
303,R304,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,26,Medium,U342,,3,Feedback 304,2024-01-10,Fall,Dinner,2,669,,11.72,86,Yes,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",8,0.25,0.25,0.25,0.61875,0.6008035,0
304,R305,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,35,Hard,U886,Vegetarian,3,Feedback 305,2024-01-04,Summer,Party,5,646,Dairy,19.72,330,Yes,4,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",8,0.5,0.25,0.25,0.3923667,0.24441317,0
305,R306,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,28,Medium,U516,Gluten-Free,4,Feedback 306,2024-10-28,Winter,Dinner,1,539,,11.8,306,No,3,3,3,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",7,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.99999994,0
306,R307,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,75,Easy,U259,,5,Feedback 307,2024-03-29,Summer,Dinner,2,363,Gluten,13.93,322,No,3,2,2,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",9,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.52486247,0.31877378,0
307,R308,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,40,Medium,U112,,2,Feedback 308,2024-05-03,Winter,Casual,6,333,,11.56,54,Yes,2,2,2,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9999999,0.9999999,0
308,R309,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,89,Easy,U170,,3,Feedback 309,2024-10-08,Summer,Party,1,380,Gluten,17.35,328,No,3,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",7,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.41570342,1.0,0
309,R310,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,76,Medium,U731,Gluten-Free,4,Feedback 310,2024-09-16,Spring,Dinner,5,476,,17.11,400,No,2,2,2,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.99999994,0
310,R311,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,41,Medium,U852,Gluten-Free,4,Feedback 311,2024-03-22,Spring,Casual,5,755,,16.28,219,No,2,2,2,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",5,0.4,0.4,0.4,1.0,0.99999994,0
311,R312,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,72,Easy,U693,,1,Feedback 312,2024-01-07,Winter,Dinner,4,292,Gluten,17.21,270,No,1,1,1,Chinese,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",4,0.25,0.25,0.25,0.61875,1.0,0
312,R313,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,43,Medium,U540,,5,Feedback 313,2024-07-09,Fall,Dinner,2,776,,13.2,423,Yes,1,1,1,Indian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999,0.6008035,0
313,R314,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,53,Hard,U712,Vegetarian,5,Feedback 314,2024-03-03,Spring,Casual,1,351,Dairy,9.97,500,Yes,5,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",10,0.5,0.2,0.2,0.2935025,0.24441317,0
314,R315,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,83,Medium,U672,Gluten-Free,1,Feedback 315,2024-10-25,Winter,Dinner,4,406,,10.84,185,Yes,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21890011,0.31877378,0
315,R316,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,30,Medium,U955,Gluten-Free,3,Feedback 316,2024-02-24,Summer,Dinner,1,479,,18.59,386,Yes,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",4,0.25,0.25,0.25,0.52486247,0.31877378,0
316,R317,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,52,Hard,U369,Vegetarian,4,Feedback 317,2024-03-31,Spring,Lunch,2,311,Dairy,5.53,94,No,2,2,2,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",10,0.2,0.2,0.2,0.2935025,0.32049504,0
317,R318,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,75,Easy,U950,Vegan,5,Feedback 318,2024-10-24,Summer,Casual,4,392,Soy,9.99,180,Yes,2,2,2,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",5,0.4,0.4,0.4,0.9999999,1.0,1
318,R319,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,57,Easy,U106,Vegan,5,Feedback 319,2024-05-13,Summer,Lunch,5,648,Soy,9.6,293,Yes,1,1,1,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",4,0.25,0.25,0.25,0.14242914,0.094956286,1
319,R320,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,68,Easy,U703,,5,Feedback 320,2024-06-01,Fall,Party,2,766,Gluten,12.7,85,No,2,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.52486247,1.0,0
320,R321,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,59,Easy,U279,,4,Feedback 321,2024-12-26,Summer,Dinner,5,744,Gluten,17.73,285,No,2,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",2,1.0,1.0,1.0,1.0,1.0,0
321,R322,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,87,Medium,U458,Gluten-Free,2,Feedback 322,2024-09-15,Fall,Lunch,1,426,,9.17,479,Yes,1,1,1,Italian,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.36058468,0.27471507,0
322,R323,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,29,Easy,U668,Vegan,5,Feedback 323,2024-07-17,Spring,Dinner,1,212,Soy,15.71,139,Yes,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",8,0.375,0.375,0.375,0.9999999,1.0,1
323,R324,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,58,Medium,U851,,5,Feedback 324,2024-07-08,Spring,Dinner,5,307,,17.5,295,Yes,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",6,0.5,0.5,0.5,0.9999999,0.094956286,0
324,R325,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,82,Hard,U823,Vegetarian,1,Feedback 325,2024-02-07,Spring,Dinner,5,615,Dairy,16.61,118,Yes,5,2,2,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",8,0.625,0.25,0.25,0.38125843,0.24441317,0
325,R326,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,40,Medium,U205,Gluten-Free,5,Feedback 326,2024-03-16,Spring,Party,3,212,,18.01,463,Yes,2,2,2,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.21890011,0.2786578,0
326,R327,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,42,Easy,U306,,4,Feedback 327,2024-05-25,Spring,Casual,2,401,Gluten,18.31,98,No,4,2,2,Italian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",10,0.4,0.2,0.2,0.52486247,0.31877378,0
327,R328,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,63,Medium,U447,,5,Feedback 328,2024-08-18,Summer,Casual,5,799,,13.68,425,No,4,4,4,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9999999,0.9999999,0
328,R329,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,55,Hard,U451,Vegetarian,5,Feedback 329,2024-10-19,Winter,Lunch,2,305,Dairy,10.87,430,Yes,4,3,3,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",6,0.6666666666666666,0.5,0.5,1.0000001,1.0,0
329,R330,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,40,Easy,U702,,3,Feedback 330,2024-11-21,Summer,Casual,5,293,Gluten,12.7,93,No,6,2,2,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",8,0.75,0.25,0.25,0.38125843,0.24441317,0
330,R331,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,43,Medium,U941,,4,Feedback 331,2024-05-03,Summer,Lunch,3,632,,16.89,293,No,2,2,2,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999,0.094956286,0
331,R332,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,88,Medium,U972,,4,Feedback 332,2024-03-25,Fall,Lunch,5,513,,11.52,332,Yes,3,3,3,Italian,Chop veggies; Stir-fry; Add sauce; Serve.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",12,0.25,0.25,0.25,0.9999999,0.094956286,0
332,R333,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,42,Easy,U723,Vegan,1,Feedback 333,2024-04-21,Fall,Dinner,1,270,Soy,13.69,131,No,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",5,0.6,0.6,0.6,0.9999999,1.0,1
333,R334,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,79,Medium,U141,Gluten-Free,5,Feedback 334,2024-09-30,Summer,Casual,5,204,,14.17,125,No,1,1,1,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",4,0.25,0.25,0.25,0.21890011,0.2786578,0
334,R335,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,44,Easy,U806,Vegan,2,Feedback 335,2024-08-25,Summer,Dinner,4,505,Soy,18.15,384,Yes,3,3,3,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",6,0.5,0.5,0.5,0.9999999,1.0,1
335,R336,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,54,Medium,U929,,4,Feedback 336,2024-12-19,Winter,Party,3,678,,11.46,301,Yes,1,1,1,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",5,0.2,0.2,0.2,0.3923667,0.7589728,0
336,R337,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,29,Hard,U309,Vegetarian,3,Feedback 337,2024-09-03,Winter,Lunch,1,788,Dairy,16.5,203,No,2,1,1,Mexican,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.3923667,0.7589728,0
337,R338,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,53,Easy,U300,Vegan,1,Feedback 338,2024-08-22,Winter,Party,5,397,Soy,10.01,378,No,2,2,2,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999,1.0,1
338,R339,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,46,Medium,U259,Gluten-Free,3,Feedback 339,2024-05-01,Fall,Party,5,347,,9.05,474,No,4,4,4,Indian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",9,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.99999994,0
339,R340,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,63,Easy,U685,,3,Feedback 340,2024-05-13,Winter,Dinner,1,433,Gluten,12.88,56,No,3,2,2,Italian,Cook beef; Prepare toppings; Assemble tacos.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",8,0.375,0.25,0.25,0.61875,0.6008035,0
340,R341,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,37,Easy,U972,,2,Feedback 341,2024-02-02,Spring,Lunch,5,610,Gluten,14.78,341,Yes,4,2,2,Italian,Chop veggies; Stir-fry; Add sauce; Serve.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",12,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.61875,0.5425549,0
341,R342,Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,62,Hard,U514,Vegetarian,1,Feedback 342,2024-03-01,Summer,Casual,4,750,Dairy,6.52,261,No,5,4,4,Italian,Prepare dough; Add toppings; Bake pizza.,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",6,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0000001,1.0,0
342,R343,Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,75,Medium,U477,,4,Feedback 343,2024-06-16,Fall,Casual,3,665,,12.7,417,No,2,2,2,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.9999999,0.094956286,0
343,R344,Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,52,Medium,U490,Gluten-Free,3,Feedback 344,2024-09-03,Winter,Party,6,368,,16.5,231,Yes,1,1,1,Chinese,Chop veggies; Stir-fry; Add sauce; Serve.,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",10,0.1,0.1,0.1,0.36058468,0.27471507,0
344,R345,Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,64,Easy,U963,Vegan,5,Feedback 345,2024-01-28,Spring,Party,4,661,Soy,5.16,429,No,1,1,1,Italian,Boil pasta; Cook beef; Add sauce; Combine.,"Beef, Taco Shells, Lettuce, Cheese, Tomato",4,0.25,0.25,0.25,0.14242914,0.5425549,1
345,R346,Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,68,Easy,U426,,2,Feedback 346,2024-12-18,Fall,Party,2,789,Gluten,12.11,133,Yes,4,1,1,Italian,Cook chicken; Add spices; Pour coconut milk; Simmer.,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",9,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.52486247,0.31877378,0
